Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,hour,demand_z1
,,,,,,,,137,16,0
,,,,,,,,138,17,0
,,,,,,,,139,18,0
,,,,,,,,140,19,0
,,,,,,,,141,20,0
,,,,,,,,142,21,0
,,,,,,,,143,22,0
,,,,,,,,144,23,0
,,,,,,,,145,0,0
,,,,,,,,146,1,0
,,,,,,,,147,2,0
,,,,,,,,148,3,0
,,,,,,,,149,4,0
,,,,,,,,150,5,0
,,,,,,,,151,6,0
,,,,,,,,152,7,0
,,,,,,,,153,8,0
,,,,,,,,154,9,0
,,,,,,,,155,10,0
,,,,,,,,156,11,0
,,,,,,,,157,12,0
,,,,,,,,158,13,0
,,,,,,,,159,14,0
,,,,,,,,160,15,0
,,,,,,,,161,16,0
,,,,,,,,162,17,0
,,,,,,,,163,18,0
,,,,,,,,164,19,0
,,,,,,,,165,20,0
,,,,,,,,166,21,0
,,,,,,,,167,22,0
,,,,,,,,168,23,0
,,,,,,,,169,0,0
,,,,,,,,170,1,0
,,,,,,,,171,2,0
,,,,,,,,172,3,0
,,,,,,,,173,4,0
,,,,,,,,174,5,0
,,,,,,,,175,6,0
,,,,,,,,176,7,0
,,,,,,,,177,8,0
,,,,,,,,178,9,0
,,,,,,,,179,10,0
,,,,,,,,180,11,0
,,,,,,,,181,12,0
,,,,,,,,182,13,0
,,,,,,,,183,14,0
,,,,,,,,184,15,0
,,,,,,,,185,16,0
,,,,,,,,186,17,0
,,,,,,,,187,18,0
,,,,,,,,188,19,0
,,,,,,,,189,20,0
,,,,,,,,190,21,0
,,,,,,,,191,22,0
,,,,,,,,192,23,0
,,,,,,,,193,0,0
,,,,,,,,194,1,0
,,,,,,,,195,2,0
,,,,,,,,196,3,0
,,,,,,,,197,4,0
,,,,,,,,198,5,0
,,,,,,,,199,6,0
,,,,,,,,200,7,0
,,,,,,,,201,8,0
,,,,,,,,202,9,0
,,,,,,,,203,10,0
,,,,,,,,204,11,0
,,,,,,,,205,12,0
,,,,,,,,206,13,0
,,,,,,,,207,14,0
,,,,,,,,208,15,0
,,,,,,,,209,16,0
,,,,,,,,210,17,0
,,,,,,,,211,18,0
,,,,,,,,212,19,0
,,,,,,,,213,20,0
,,,,,,,,214,21,0
,,,,,,,,215,22,0
,,,,,,,,216,23,0
,,,,,,,,217,0,0
,,,,,,,,218,1,0
,,,,,,,,219,2,0
,,,,,,,,220,3,0
,,,,,,,,221,4,0
,,,,,,,,222,5,0
,,,,,,,,223,6,0
,,,,,,,,224,7,0
,,,,,,,,225,8,0
,,,,,,,,226,9,0
,,,,,,,,227,10,0
,,,,,,,,228,11,0
,,,,,,,,229,12,0
,,,,,,,,230,13,0
,,,,,,,,231,14,0
,,,,,,,,232,15,0
,,,,,,,,233,16,0
,,,,,,,,234,17,0
,,,,,,,,235,18,0
,,,,,,,,236,19,0
,,,,,,,,237,20,0
,,,,,,,,238,21,0
,,,,,,,,239,22,0
,,,,,,,,240,23,0
,,,,,,,,241,0,0
,,,,,,,,242,1,0
,,,,,,,,243,2,0
,,,,,,,,244,3,0
,,,,,,,,245,4,0
,,,,,,,,246,5,0
,,,,,,,,247,6,0
,,,,,,,,248,7,0
,,,,,,,,249,8,0
,,,,,,,,250,9,0
,,,,,,,,251,10,0
,,,,,,,,252,11,0
,,,,,,,,253,12,0
,,,,,,,,254,13,0
,,,,,,,,255,14,0
,,,,,,,,256,15,0
,,,,,,,,257,16,0
,,,,,,,,258,17,0
,,,,,,,,259,18,0
,,,,,,,,260,19,0
,,,,,,,,261,20,0
,,,,,,,,262,21,0
,,,,,,,,263,22,0
,,,,,,,,264,23,0
,,,,,,,,265,0,0
,,,,,,,,266,1,0
,,,,,,,,267,2,0
,,,,,,,,268,3,0
,,,,,,,,269,4,0
,,,,,,,,270,5,0
,,,,,,,,271,6,0
,,,,,,,,272,7,0
,,,,,,,,273,8,0
,,,,,,,,274,9,0
,,,,,,,,275,10,0
,,,,,,,,276,11,0
,,,,,,,,277,12,0
,,,,,,,,278,13,0
,,,,,,,,279,14,0
,,,,,,,,280,15,0
,,,,,,,,281,16,0
,,,,,,,,282,17,0
,,,,,,,,283,18,0
,,,,,,,,284,19,0
,,,,,,,,285,20,0
,,,,,,,,286,21,0
,,,,,,,,287,22,0
,,,,,,,,288,23,0
,,,,,,,,289,0,0
,,,,,,,,290,1,0
,,,,,,,,291,2,0
,,,,,,,,292,3,0
,,,,,,,,293,4,0
,,,,,,,,294,5,0
,,,,,,,,295,6,0
,,,,,,,,296,7,0
,,,,,,,,297,8,0
,,,,,,,,298,9,0
,,,,,,,,299,10,0
,,,,,,,,300,11,0
,,,,,,,,301,12,0
,,,,,,,,302,13,0
,,,,,,,,303,14,0
,,,,,,,,304,15,0
,,,,,,,,305,16,0
,,,,,,,,306,17,0
,,,,,,,,307,18,0
,,,,,,,,308,19,0
,,,,,,,,309,20,0
,,,,,,,,310,21,0
,,,,,,,,311,22,0
,,,,,,,,312,23,0
,,,,,,,,313,0,0
,,,,,,,,314,1,0
,,,,,,,,315,2,0
,,,,,,,,316,3,0
,,,,,,,,317,4,0
,,,,,,,,318,5,0
,,,,,,,,319,6,0
,,,,,,,,320,7,0
,,,,,,,,321,8,0
,,,,,,,,322,9,0
,,,,,,,,323,10,0
,,,,,,,,324,11,0
,,,,,,,,325,12,0
,,,,,,,,326,13,0
,,,,,,,,327,14,0
,,,,,,,,328,15,0
,,,,,,,,329,16,0
,,,,,,,,330,17,0
,,,,,,,,331,18,0
,,,,,,,,332,19,0
,,,,,,,,333,20,0
,,,,,,,,334,21,0
,,,,,,,,335,22,0
,,,,,,,,336,23,0
,,,,,,,,337,0,0
,,,,,,,,338,1,0
,,,,,,,,339,2,0
,,,,,,,,340,3,0
,,,,,,,,341,4,0
,,,,,,,,342,5,0
,,,,,,,,343,6,0
,,,,,,,,344,7,0
,,,,,,,,345,8,0
,,,,,,,,346,9,0
,,,,,,,,347,10,0
,,,,,,,,348,11,0
,,,,,,,,349,12,0
,,,,,,,,350,13,0
,,,,,,,,351,14,0
,,,,,,,,352,15,0
,,,,,,,,353,16,0
,,,,,,,,354,17,0
,,,,,,,,355,18,0
,,,,,,,,356,19,0
,,,,,,,,357,20,0
,,,,,,,,358,21,0
,,,,,,,,359,22,0
,,,,,,,,360,23,0
,,,,,,,,361,0,0
,,,,,,,,362,1,0
,,,,,,,,363,2,0
,,,,,,,,364,3,0
,,,,,,,,365,4,0
,,,,,,,,366,5,0
,,,,,,,,367,6,0
,,,,,,,,368,7,0
,,,,,,,,369,8,0
,,,,,,,,370,9,0
,,,,,,,,371,10,0
,,,,,,,,372,11,0
,,,,,,,,373,12,0
,,,,,,,,374,13,0
,,,,,,,,375,14,0
,,,,,,,,376,15,0
,,,,,,,,377,16,0
,,,,,,,,378,17,0
,,,,,,,,379,18,0
,,,,,,,,380,19,0
,,,,,,,,381,20,0
,,,,,,,,382,21,0
,,,,,,,,383,22,0
,,,,,,,,384,23,0
,,,,,,,,385,0,0
,,,,,,,,386,1,0
,,,,,,,,387,2,0
,,,,,,,,388,3,0
,,,,,,,,389,4,0
,,,,,,,,390,5,0
,,,,,,,,391,6,0
,,,,,,,,392,7,0
,,,,,,,,393,8,0
,,,,,,,,394,9,0
,,,,,,,,395,10,0
,,,,,,,,396,11,0
,,,,,,,,397,12,0
,,,,,,,,398,13,0
,,,,,,,,399,14,0
,,,,,,,,400,15,0
,,,,,,,,401,16,0
,,,,,,,,402,17,0
,,,,,,,,403,18,0
,,,,,,,,404,19,0
,,,,,,,,405,20,0
,,,,,,,,406,21,0
,,,,,,,,407,22,0
,,,,,,,,408,23,0
,,,,,,,,409,0,0
,,,,,,,,410,1,0
,,,,,,,,411,2,0
,,,,,,,,412,3,0
,,,,,,,,413,4,0
,,,,,,,,414,5,0
,,,,,,,,415,6,0
,,,,,,,,416,7,0
,,,,,,,,417,8,0
,,,,,,,,418,9,0
,,,,,,,,419,10,0
,,,,,,,,420,11,0
,,,,,,,,421,12,0
,,,,,,,,422,13,0
,,,,,,,,423,14,0
,,,,,,,,424,15,0
,,,,,,,,425,16,0
,,,,,,,,426,17,0
,,,,,,,,427,18,0
,,,,,,,,428,19,0
,,,,,,,,429,20,0
,,,,,,,,430,21,0
,,,,,,,,431,22,0
,,,,,,,,432,23,0
,,,,,,,,433,0,0
,,,,,,,,434,1,0
,,,,,,,,435,2,0
,,,,,,,,436,3,0
,,,,,,,,437,4,0
,,,,,,,,438,5,0
,,,,,,,,439,6,0
,,,,,,,,440,7,0
,,,,,,,,441,8,0
,,,,,,,,442,9,0
,,,,,,,,443,10,0
,,,,,,,,444,11,0
,,,,,,,,445,12,0
,,,,,,,,446,13,0
,,,,,,,,447,14,0
,,,,,,,,448,15,0
,,,,,,,,449,16,0
,,,,,,,,450,17,0
,,,,,,,,451,18,0
,,,,,,,,452,19,0
,,,,,,,,453,20,0
,,,,,,,,454,21,0
,,,,,,,,455,22,0
,,,,,,,,456,23,0
,,,,,,,,457,0,0
,,,,,,,,458,1,0
,,,,,,,,459,2,0
,,,,,,,,460,3,0
,,,,,,,,461,4,0
,,,,,,,,462,5,0
,,,,,,,,463,6,0
,,,,,,,,464,7,0
,,,,,,,,465,8,0
,,,,,,,,466,9,0
,,,,,,,,467,10,0
,,,,,,,,468,11,0
,,,,,,,,469,12,0
,,,,,,,,470,13,0
,,,,,,,,471,14,0
,,,,,,,,472,15,0
,,,,,,,,473,16,0
,,,,,,,,474,17,0
,,,,,,,,475,18,0
,,,,,,,,476,19,0
,,,,,,,,477,20,0
,,,,,,,,478,21,0
,,,,,,,,479,22,0
,,,,,,,,480,23,0
,,,,,,,,481,0,0
,,,,,,,,482,1,0
,,,,,,,,483,2,0
,,,,,,,,484,3,0
,,,,,,,,485,4,0
,,,,,,,,486,5,0
,,,,,,,,487,6,0
,,,,,,,,488,7,0
,,,,,,,,489,8,0
,,,,,,,,490,9,0
,,,,,,,,491,10,0
,,,,,,,,492,11,0
,,,,,,,,493,12,0
,,,,,,,,494,13,0
,,,,,,,,495,14,0
,,,,,,,,496,15,0
,,,,,,,,497,16,0
,,,,,,,,498,17,0
,,,,,,,,499,18,0
,,,,,,,,500,19,0
,,,,,,,,501,20,0
,,,,,,,,502,21,0
,,,,,,,,503,22,0
,,,,,,,,504,23,0
,,,,,,,,505,0,0
,,,,,,,,506,1,0
,,,,,,,,507,2,0
,,,,,,,,508,3,0
,,,,,,,,509,4,0
,,,,,,,,510,5,0
,,,,,,,,511,6,0
,,,,,,,,512,7,0
,,,,,,,,513,8,0
,,,,,,,,514,9,0
,,,,,,,,515,10,0
,,,,,,,,516,11,0
,,,,,,,,517,12,0
,,,,,,,,518,13,0
,,,,,,,,519,14,0
,,,,,,,,520,15,0
,,,,,,,,521,16,0
,,,,,,,,522,17,0
,,,,,,,,523,18,0
,,,,,,,,524,19,0
,,,,,,,,525,20,0
,,,,,,,,526,21,0
,,,,,,,,527,22,0
,,,,,,,,528,23,0
,,,,,,,,529,0,0
,,,,,,,,530,1,0
,,,,,,,,531,2,0
,,,,,,,,532,3,0
,,,,,,,,533,4,0
,,,,,,,,534,5,0
,,,,,,,,535,6,0
,,,,,,,,536,7,0
,,,,,,,,537,8,0
,,,,,,,,538,9,0
,,,,,,,,539,10,0
,,,,,,,,540,11,0
,,,,,,,,541,12,0
,,,,,,,,542,13,0
,,,,,,,,543,14,0
,,,,,,,,544,15,0
,,,,,,,,545,16,0
,,,,,,,,546,17,0
,,,,,,,,547,18,0
,,,,,,,,548,19,0
,,,,,,,,549,20,0
,,,,,,,,550,21,0
,,,,,,,,551,22,0
,,,,,,,,552,23,0
,,,,,,,,553,0,0
,,,,,,,,554,1,0
,,,,,,,,555,2,0
,,,,,,,,556,3,0
,,,,,,,,557,4,0
,,,,,,,,558,5,0
,,,,,,,,559,6,0
,,,,,,,,560,7,0
,,,,,,,,561,8,0
,,,,,,,,562,9,0
,,,,,,,,563,10,0
,,,,,,,,564,11,0
,,,,,,,,565,12,0
,,,,,,,,566,13,0
,,,,,,,,567,14,0
,,,,,,,,568,15,0
,,,,,,,,569,16,0
,,,,,,,,570,17,0
,,,,,,,,571,18,0
,,,,,,,,572,19,0
,,,,,,,,573,20,0
,,,,,,,,574,21,0
,,,,,,,,575,22,0
,,,,,,,,576,23,0
,,,,,,,,577,0,0
,,,,,,,,578,1,0
,,,,,,,,579,2,0
,,,,,,,,580,3,0
,,,,,,,,581,4,0
,,,,,,,,582,5,0
,,,,,,,,583,6,0
,,,,,,,,584,7,0
,,,,,,,,585,8,0
,,,,,,,,586,9,0
,,,,,,,,587,10,0
,,,,,,,,588,11,0
,,,,,,,,589,12,0
,,,,,,,,590,13,0
,,,,,,,,591,14,0
,,,,,,,,592,15,0
,,,,,,,,593,16,0
,,,,,,,,594,17,0
,,,,,,,,595,18,0
,,,,,,,,596,19,0
,,,,,,,,597,20,0
,,,,,,,,598,21,0
,,,,,,,,599,22,0
,,,,,,,,600,23,0
,,,,,,,,601,0,0
,,,,,,,,602,1,0
,,,,,,,,603,2,0
,,,,,,,,604,3,0
,,,,,,,,605,4,0
,,,,,,,,606,5,0
,,,,,,,,607,6,0
,,,,,,,,608,7,0
,,,,,,,,609,8,0
,,,,,,,,610,9,0
,,,,,,,,611,10,0
,,,,,,,,612,11,0
,,,,,,,,613,12,0
,,,,,,,,614,13,0
,,,,,,,,615,14,0
,,,,,,,,616,15,0
,,,,,,,,617,16,0
,,,,,,,,618,17,0
,,,,,,,,619,18,0
,,,,,,,,620,19,0
,,,,,,,,621,20,0
,,,,,,,,622,21,0
,,,,,,,,623,22,0
,,,,,,,,624,23,0
,,,,,,,,625,0,0
,,,,,,,,626,1,0
,,,,,,,,627,2,0
,,,,,,,,628,3,0
,,,,,,,,629,4,0
,,,,,,,,630,5,0
,,,,,,,,631,6,0
,,,,,,,,632,7,0
,,,,,,,,633,8,0
,,,,,,,,634,9,0
,,,,,,,,635,10,0
,,,,,,,,636,11,0
,,,,,,,,637,12,0
,,,,,,,,638,13,0
,,,,,,,,639,14,0
,,,,,,,,640,15,0
,,,,,,,,641,16,0
,,,,,,,,642,17,0
,,,,,,,,643,18,0
,,,,,,,,644,19,0
,,,,,,,,645,20,0
,,,,,,,,646,21,0
,,,,,,,,647,22,0
,,,,,,,,648,23,0
,,,,,,,,649,0,0
,,,,,,,,650,1,0
,,,,,,,,651,2,0
,,,,,,,,652,3,0
,,,,,,,,653,4,0
,,,,,,,,654,5,0
,,,,,,,,655,6,0
,,,,,,,,656,7,0
,,,,,,,,657,8,0
,,,,,,,,658,9,0
,,,,,,,,659,10,0
,,,,,,,,660,11,0
,,,,,,,,661,12,0
,,,,,,,,662,13,0
,,,,,,,,663,14,0
,,,,,,,,664,15,0
,,,,,,,,665,16,0
,,,,,,,,666,17,0
,,,,,,,,667,18,0
,,,,,,,,668,19,0
,,,,,,,,669,20,0
,,,,,,,,670,21,0
,,,,,,,,671,22,0
,,,,,,,,672,23,0
,,,,,,,,673,0,0
,,,,,,,,674,1,0
,,,,,,,,675,2,0
,,,,,,,,676,3,0
,,,,,,,,677,4,0
,,,,,,,,678,5,0
,,,,,,,,679,6,0
,,,,,,,,680,7,0
,,,,,,,,681,8,0
,,,,,,,,682,9,0
,,,,,,,,683,10,0
,,,,,,,,684,11,0
,,,,,,,,685,12,0
,,,,,,,,686,13,0
,,,,,,,,687,14,0
,,,,,,,,688,15,0
,,,,,,,,689,16,0
,,,,,,,,690,17,0
,,,,,,,,691,18,0
,,,,,,,,692,19,0
,,,,,,,,693,20,0
,,,,,,,,694,21,0
,,,,,,,,695,22,0
,,,,,,,,696,23,0
,,,,,,,,697,0,0
,,,,,,,,698,1,0
,,,,,,,,699,2,0
,,,,,,,,700,3,0
,,,,,,,,701,4,0
,,,,,,,,702,5,0
,,,,,,,,703,6,0
,,,,,,,,704,7,0
,,,,,,,,705,8,0
,,,,,,,,706,9,0
,,,,,,,,707,10,0
,,,,,,,,708,11,0
,,,,,,,,709,12,0
,,,,,,,,710,13,0
,,,,,,,,711,14,0
,,,,,,,,712,15,0
,,,,,,,,713,16,0
,,,,,,,,714,17,0
,,,,,,,,715,18,0
,,,,,,,,716,19,0
,,,,,,,,717,20,0
,,,,,,,,718,21,0
,,,,,,,,719,22,0
,,,,,,,,720,23,0
,,,,,,,,721,0,0
,,,,,,,,722,1,0
,,,,,,,,723,2,0
,,,,,,,,724,3,0
,,,,,,,,725,4,0
,,,,,,,,726,5,0
,,,,,,,,727,6,0
,,,,,,,,728,7,0
,,,,,,,,729,8,0
,,,,,,,,730,9,0
,,,,,,,,731,10,0
,,,,,,,,732,11,0
,,,,,,,,733,12,0
,,,,,,,,734,13,0
,,,,,,,,735,14,0
,,,,,,,,736,15,0
,,,,,,,,737,16,0
,,,,,,,,738,17,0
,,,,,,,,739,18,0
,,,,,,,,740,19,0
,,,,,,,,741,20,0
,,,,,,,,742,21,0
,,,,,,,,743,22,0
,,,,,,,,744,23,0
,,,,,,,,745,0,0
,,,,,,,,746,1,0
,,,,,,,,747,2,0
,,,,,,,,748,3,0
,,,,,,,,749,4,0
,,,,,,,,750,5,0
,,,,,,,,751,6,0
,,,,,,,,752,7,0
,,,,,,,,753,8,0
,,,,,,,,754,9,0
,,,,,,,,755,10,0
,,,,,,,,756,11,0
,,,,,,,,757,12,0
,,,,,,,,758,13,0
,,,,,,,,759,14,0
,,,,,,,,760,15,0
,,,,,,,,761,16,0
,,,,,,,,762,17,0
,,,,,,,,763,18,0
,,,,,,,,764,19,0
,,,,,,,,765,20,0
,,,,,,,,766,21,0
,,,,,,,,767,22,0
,,,,,,,,768,23,0
,,,,,,,,769,0,0
,,,,,,,,770,1,0
,,,,,,,,771,2,0
,,,,,,,,772,3,0
,,,,,,,,773,4,0
,,,,,,,,774,5,0
,,,,,,,,775,6,0
,,,,,,,,776,7,0
,,,,,,,,777,8,0
,,,,,,,,778,9,0
,,,,,,,,779,10,0
,,,,,,,,780,11,0
,,,,,,,,781,12,0
,,,,,,,,782,13,0
,,,,,,,,783,14,0
,,,,,,,,784,15,0
,,,,,,,,785,16,0
,,,,,,,,786,17,0
,,,,,,,,787,18,0
,,,,,,,,788,19,0
,,,,,,,,789,20,0
,,,,,,,,790,21,0
,,,,,,,,791,22,0
,,,,,,,,792,23,0
,,,,,,,,793,0,0
,,,,,,,,794,1,0
,,,,,,,,795,2,0
,,,,,,,,796,3,0
,,,,,,,,797,4,0
,,,,,,,,798,5,0
,,,,,,,,799,6,0
,,,,,,,,800,7,0
,,,,,,,,801,8,0
,,,,,,,,802,9,0
,,,,,,,,803,10,0
,,,,,,,,804,11,0
,,,,,,,,805,12,0
,,,,,,,,806,13,0
,,,,,,,,807,14,0
,,,,,,,,808,15,0
,,,,,,,,809,16,0
,,,,,,,,810,17,0
,,,,,,,,811,18,0
,,,,,,,,812,19,0
,,,,,,,,813,20,0
,,,,,,,,814,21,0
,,,,,,,,815,22,0
,,,,,,,,816,23,0
,,,,,,,,817,0,0
,,,,,,,,818,1,0
,,,,,,,,819,2,0
,,,,,,,,820,3,0
,,,,,,,,821,4,0
,,,,,,,,822,5,0
,,,,,,,,823,6,0
,,,,,,,,824,7,0
,,,,,,,,825,8,0
,,,,,,,,826,9,0
,,,,,,,,827,10,0
,,,,,,,,828,11,0
,,,,,,,,829,12,0
,,,,,,,,830,13,0
,,,,,,,,831,14,0
,,,,,,,,832,15,0
,,,,,,,,833,16,0
,,,,,,,,834,17,0
,,,,,,,,835,18,0
,,,,,,,,836,19,0
,,,,,,,,837,20,0
,,,,,,,,838,21,0
,,,,,,,,839,22,0
,,,,,,,,840,23,0
,,,,,,,,841,0,0
,,,,,,,,842,1,0
,,,,,,,,843,2,0
,,,,,,,,844,3,0
,,,,,,,,845,4,0
,,,,,,,,846,5,0
,,,,,,,,847,6,0
,,,,,,,,848,7,0
,,,,,,,,849,8,0
,,,,,,,,850,9,0
,,,,,,,,851,10,0
,,,,,,,,852,11,0
,,,,,,,,853,12,0
,,,,,,,,854,13,0
,,,,,,,,855,14,0
,,,,,,,,856,15,0
,,,,,,,,857,16,0
,,,,,,,,858,17,0
,,,,,,,,859,18,0
,,,,,,,,860,19,0
,,,,,,,,861,20,0
,,,,,,,,862,21,0
,,,,,,,,863,22,0
,,,,,,,,864,23,0
,,,,,,,,865,0,0
,,,,,,,,866,1,0
,,,,,,,,867,2,0
,,,,,,,,868,3,0
,,,,,,,,869,4,0
,,,,,,,,870,5,0
,,,,,,,,871,6,0
,,,,,,,,872,7,0
,,,,,,,,873,8,0
,,,,,,,,874,9,0
,,,,,,,,875,10,0
,,,,,,,,876,11,0
,,,,,,,,877,12,0
,,,,,,,,878,13,0
,,,,,,,,879,14,0
,,,,,,,,880,15,0
,,,,,,,,881,16,0
,,,,,,,,882,17,0
,,,,,,,,883,18,0
,,,,,,,,884,19,0
,,,,,,,,885,20,0
,,,,,,,,886,21,0
,,,,,,,,887,22,0
,,,,,,,,888,23,0
,,,,,,,,889,0,0
,,,,,,,,890,1,0
,,,,,,,,891,2,0
,,,,,,,,892,3,0
,,,,,,,,893,4,0
,,,,,,,,894,5,0
,,,,,,,,895,6,0
,,,,,,,,896,7,0
,,,,,,,,897,8,0
,,,,,,,,898,9,0
,,,,,,,,899,10,0
,,,,,,,,900,11,0
,,,,,,,,901,12,0
,,,,,,,,902,13,0
,,,,,,,,903,14,0
,,,,,,,,904,15,0
,,,,,,,,905,16,0
,,,,,,,,906,17,0
,,,,,,,,907,18,0
,,,,,,,,908,19,0
,,,,,,,,909,20,0
,,,,,,,,910,21,0
,,,,,,,,911,22,0
,,,,,,,,912,23,0
,,,,,,,,913,0,0
,,,,,,,,914,1,0
,,,,,,,,915,2,0
,,,,,,,,916,3,0
,,,,,,,,917,4,0
,,,,,,,,918,5,0
,,,,,,,,919,6,0
,,,,,,,,920,7,0
,,,,,,,,921,8,0
,,,,,,,,922,9,0
,,,,,,,,923,10,0
,,,,,,,,924,11,0
,,,,,,,,925,12,0
,,,,,,,,926,13,0
,,,,,,,,927,14,0
,,,,,,,,928,15,0
,,,,,,,,929,16,0
,,,,,,,,930,17,0
,,,,,,,,931,18,0
,,,,,,,,932,19,0
,,,,,,,,933,20,0
,,,,,,,,934,21,0
,,,,,,,,935,22,0
,,,,,,,,936,23,0
,,,,,,,,937,0,0
,,,,,,,,938,1,0
,,,,,,,,939,2,0
,,,,,,,,940,3,0
,,,,,,,,941,4,0
,,,,,,,,942,5,0
,,,,,,,,943,6,0
,,,,,,,,944,7,0
,,,,,,,,945,8,0
,,,,,,,,946,9,0
,,,,,,,,947,10,0
,,,,,,,,948,11,0
,,,,,,,,949,12,0
,,,,,,,,950,13,0
,,,,,,,,951,14,0
,,,,,,,,952,15,0
,,,,,,,,953,16,0
,,,,,,,,954,17,0
,,,,,,,,955,18,0
,,,,,,,,956,19,0
,,,,,,,,957,20,0
,,,,,,,,958,21,0
,,,,,,,,959,22,0
,,,,,,,,960,23,0
,,,,,,,,961,0,0
,,,,,,,,962,1,0
,,,,,,,,963,2,0
,,,,,,,,964,3,0
,,,,,,,,965,4,0
,,,,,,,,966,5,0
,,,,,,,,967,6,0
,,,,,,,,968,7,0
,,,,,,,,969,8,0
,,,,,,,,970,9,0
,,,,,,,,971,10,0
,,,,,,,,972,11,0
,,,,,,,,973,12,0
,,,,,,,,974,13,0
,,,,,,,,975,14,0
,,,,,,,,976,15,0
,,,,,,,,977,16,0
,,,,,,,,978,17,0
,,,,,,,,979,18,0
,,,,,,,,980,19,0
,,,,,,,,981,20,0
,,,,,,,,982,21,0
